"level","id","parent_id","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message","from.name","from.id","comments.data","comments.summary.order","comments.summary.total_count","comments.summary.can_comment","reactions.data","reactions.summary.total_count","reactions.summary.viewer_reaction","like.data","like.summary.total_count","like.summary.viewer_reaction","love.data","love.summary.total_count","love.summary.viewer_reaction","haha.data","haha.summary.total_count","haha.summary.viewer_reaction","wow.data","wow.summary.total_count","wow.summary.viewer_reaction","sad.data","sad.summary.total_count","sad.summary.viewer_reaction","angry.data","angry.summary.total_count","angry.summary.viewer_reaction","id"
"0","1","None","1909181976026476","seed","","","None","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","2","1","1909181976026476_3424580071153318","data","data.*","fetched (200)","2022-10-01 18:18:54.232634","Facebook:/<page-id>/posts","【升級版流動保安編碼服務現已支援個人網上銀行！】  工銀亞洲致力優化革新，為客戶提供與時並進嘅優質銀行服務！升級版流動保安編碼服務，現已支援個人網上銀行，隨時隨地，為您提供安心、方便嘅交易體驗！  升級交易服務： 1. 大額轉賬 / 匯款 2. 登記 / 修改第三方收款賬戶 3. 開立 / 更改定期存款到期指示（只適用於存入已登記本行第三方賬戶） 4. 修改個人資訊  立即下載及推薦親友使用工銀亞洲手機銀行應用程式，感受靈活、可靠嘅理財新優勢！  =========================  服務受條款及細則約束。  提示： 數碼KEY睇緊啲，撳LINK前要三思！ 便宜莫貪，勿賣Account！  「工銀亞洲」或「本行」乃中國工商銀行（亞洲）有限公司之簡稱。  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #網上理財 #手機理財 #mobiletoken #流動保安編碼 #手機銀行 #網上銀行 #升級服務 #轉賬匯款","2022-09-30T10:00:28+0000","","","","ICBC （Asia）","1909181976026476","","chronological","0","True","","1","NONE","","1","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","1909181976026476_3424580071153318"
"1","3","1","1909181976026476_3425439851067340","data","data.*","fetched (200)","2022-10-01 18:18:54.232634","Facebook:/<page-id>/posts","【ICBC銀聯信用卡馬拉松、Catalog及GigaSports購物優惠】  身體健康幾時都最重要，做運動出一身汗，可以保持強健體魄。  做運動嘅時候，記得要配戴合適嘅裝備，就可盡情享樂。   而家用ICBC銀聯信用卡銀聯二維碼或銀聯手機閃付於馬拉松、Catalog或GigaSports香港全線分店消費，可享高達HK$70即時折扣優惠。   推廣期︰2022年9月1日至2022年10月31日（包括首尾兩天）  推廣期內，於馬拉松、Catalog或GigaSports香港全線分店購買兩件貨品並單一簽賬滿淨值^HK$990 :   ★憑ICBC銀聯卡，即減HK$50  ★憑銀聯二維碼或銀聯手機閃付，即減HK$70  ^不適用於網上商店及特賣場   提示︰ 借定唔借？還得到先好借！ 數碼KEY睇緊啲，撳LINK前要三思！ 便宜莫貪，勿賣Account！  「工銀亞洲」或「本行」乃中國工商銀行(亞洲)有限公司之簡稱。   #ICBCAsia #工銀亞洲 #跨境金融首選銀行  #信用卡優惠 #運動用品優惠 #馬拉松 #Catalog #GigaSports #銀聯信用卡 #銀聯二維碼 #銀聯手機閃付","2022-09-30T03:00:01+0000","","","","ICBC （Asia）","1909181976026476","","chronological","0","True","","3","NONE","","3","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","1909181976026476_3425439851067340"
"1","4","1","1909181976026476_3423784207899571","data","data.*","fetched (200)","2022-10-01 18:18:54.232634","Facebook:/<page-id>/posts","【全新皇后山分行正式投入服務】  為響應香港特區政府北部都會區發展策略，更好地對接粵港澳大灣區發展，工銀亞洲於粉嶺皇后山商場開設分行，並於2022年9月29日正式投入服務，以滿足該區急速增長的銀行服務需求。   工銀亞洲皇后山分行是粉嶺皇后山區內首間提供全面性零售銀行服務的銀行，為整個皇后山區的3萬名居民服務。皇后山分行提供全功能銀行服務以方便居民及商戶，行內設有現金櫃位、客戶服務專區與投資專區，同時配備打簿機及24小時自動櫃員機，滿足一般查詢、戶口開立、現金提存、轉賬、貨幣兌換、投資理財及自助交易等需要。分行內更設有無障礙設施，包括無障礙通道、聆聽輔助系統及特別設計的客戶關愛櫃枱，以方便有需要人士如輪椅使用者、長者及視障人士攜同導盲犬等使用銀行服務，全方位便利客户使用銀行服務。   為慶祝皇后山分行正式投入服務，由即日起至2022年12月31日，客戶親臨皇后山分行開戶或辦理指定業務，可享精美禮品及額外優惠，先到先得，送完即止！   皇后山分行地址：粉嶺皇后山邨皇后山商場地下1號舖  提示： 數碼KEY睇緊啲，撳LINK前要三思！  便宜莫貪，勿賣Account。  重要聲明： 以上風險披露聲明不能披露所有涉及的風險，如欲索取完整之風險披露聲明，可向本行各分行查詢。   「工銀亞洲」或「本行」乃中國工商銀行（亞洲）有限公司之簡稱。  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #北部都會區 #粵港澳大灣區 #皇后山 #分行開幕 #開戶 #投資理財 #自動櫃員機 #現金提存 #貨幣兌換 #自助交易 #無障礙設施","2022-09-29T03:00:08+0000","","","","ICBC （Asia）","1909181976026476","","chronological","0","True","","11","NONE","","11","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","1909181976026476_3423784207899571"
"1","5","1","1909181976026476_3422999287978063","data","data.*","fetched (200)","2022-10-01 18:18:54.232634","Facebook:/<page-id>/posts","【工銀亞洲順利完成多邊央行數字貨幣橋專案首期試點】  二十國集團（G20）已將利用新興技術實現更實時、更便宜和更安全的跨境支付與結算列為重點工作。有見及此，國際結算銀行創新樞紐轄下香港中心、中國人民銀行數字貨幣研究所、香港金融管理局、阿聯酋中央銀行和泰國中央銀行近日作出宣佈，於8月15日至9月23日期間，來自四地共20家商業銀行已在貨幣橋（mBridge）上成功完成了首次真實交易測試。更為詳細的進展報告將於10月發佈，亦歡迎大家參與10月31日至11月4日舉行的香港金融科技周，瞭解更多詳情。   工銀亞洲有幸參與是次測試，成為香港5家參與行之一，也在全球20家參與行中佔一席位。  #ICBCAsia #工銀亞洲 #跨境金融首選銀行","2022-09-27T01:28:35+0000","","","","ICBC （Asia）","1909181976026476","","chronological","0","True","","2","NONE","","2","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","1909181976026476_3422999287978063"
"1","6","1","1909181976026476_3407229719555020","data","data.*","fetched (200)","2022-10-01 18:18:54.232634","Facebook:/<page-id>/posts","【手機銀行基金平台新體驗有獎問答遊戲】第三撃得獎公佈！ 最令人期待嘅得獎者名單又嚟喇！ 恭喜以下10位幸運兒，每人可獲HK$200超市購物禮券乙張！感謝大家一直積極參與，未中獎嘅朋友唔使失望，您亦可下載工銀亞洲手機銀行，體驗基金平台升級介面同全新功能。如果想知道更多理財貼士同資訊，就要密切留意工銀亞洲專頁，探索「真」財富之旅！  10位得獎者（按英文字母順序排列）： Abby Ng Alan Cheung Aniya Fan Anson Chan Candy Chau John Chan Li Ci Chan Simon Poon Suye Choi Yee Wan Tsim  得獎者請於2022年9月29日或之前將已讚好 ICBC (Asia) Facebook專頁同遊戲帖文嘅截圖證明透過Facebook inbox傳送至ICBC (Asia) Facebook專頁，逾期作放棄論，我哋將會有專人經inbox通知 閣下領取獎品嘅方法！  「工銀亞洲」乃中國工商銀行（亞洲）有限公司之簡稱。  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #基金平台新體驗 #得獎名單 #有獎遊戲 #禮券 #推薦朋友 #著數 #開心share #理財先機 #基金 #財富寶藏之旅","2022-09-26T08:00:06+0000","","","","ICBC （Asia）","1909181976026476","","chronological","3","True","","11","NONE","","11","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","1909181976026476_3407229719555020"
"1","7","1","1909181976026476_3420242701587055","data","data.*","fetched (200)","2022-10-01 18:18:54.232634","Facebook:/<page-id>/posts","【直播講座預告：2022年第4季石油及天然氣行業投資講座 】 全球能源危機仍在發酵，主要圍繞石油問題引起。今年的石油及天然氣價格暴漲所帶來的挑戰，會否引發通貨膨脹和經濟危機？想了解更多就要留意9月29日的線上投資講座，工銀亞洲邀請來自工銀國際研究部分析師 —余曉毓女士為大家解讀巿場近況及石油天然氣行業展望，助您在投資部署更上一層樓。  講座主題：能源危機下石油及天然氣行業的機遇 日期：2022年9月29日（星期四） 時間：17:00-18:00 語言：普通話 費用：免費  參與方式：點擊連結: https://bit.ly/3BDeRZc 或直接撥打電話 +852 3001 8898 後輸入會議號 289 024 709 按#號。  內容概要： 1.國際油價分析 2.全球及中國汽油巿場分析 3.石油及天然氣行業Q&A  主講嘉賓： 余曉毓女士 工銀國際研究部執行董事，石油、天然氣與製造行業總分析師。  提示: 投資涉及風險。 數碼KEY睇緊啲，撳LINK前要三思！ 便宜莫貪，勿賣Account。  免責聲明：www.icbcasia.com/icbc/discl2508  「工銀亞洲」乃中國工商銀行（亞洲）有限公司之簡稱。  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #投資講座 #能源危機 #石油及天然氣板塊 #投資展望","2022-09-25T04:00:58+0000","","","","ICBC （Asia）","1909181976026476","","chronological","2","True","","2","NONE","","2","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","1909181976026476_3420242701587055"
"1","8","1","1909181976026476_3418821635062495","data","data.*","fetched (200)","2022-10-01 18:18:54.232634","Facebook:/<page-id>/posts","【嶄新手機銀行基金服務體驗 全面基金資訊一目了然】 工銀亞洲全新手機銀行升級版基金平台登場，六大功能，帶嚟嶄新基金投資體驗！  無論搜尋基金、查閱走勢、瀏覽資訊、進行交易、管理基金賬戶或回顧交易紀錄都更方便靈活！助你輕鬆掌握基金動向，支援你的每個基金投資抉擇！ 快啲分享埋呢條介紹短片畀親友、同事，一齊下載工銀亞洲手機應用程式，登入基金平台，感受最流暢嘅基金投資新體驗！  新投資客戶經電子渠道認購指定類別理財產品完成合資格交易，可尊享高達HK$25,000認購費回贈及/或現金獎賞（「網上理財交易賞」^）。 ^優惠受條款及細則約束。詳情請瀏覽：https://bit.ly/3BgHGvi。 ===================================== 六大升級功能 – 助你精準投資： 1. 搜尋功能 方便瀏覽 2. 心水基金 一目了然 3. 全面資訊 精準規劃 4. 流程優化 加快交易 5. 投資狀況 一手掌握 6. 嶄新面貌 升級體驗 ===================================== 風險披露：投資涉及風險，投資產品價格有時可能會非常波動，投資產品價格可升亦可跌，甚至可能變成毫無價值。買賣投資產品未必一定能夠賺取利潤，反而可能會招致虧損。任何投資產品的過去表現並不一定可作為將來表現的指引。  重要聲明：以上風險披露聲明不能披露所有涉及的風險，如欲索取完整之風險披露聲明，可瀏覽本行網站或向本行各分行查詢。   提示: 借定唔借？還得到先好借！ 數碼KEY睇緊啲，撳LINK前要三思！ 便宜莫貪，勿賣Account！  投資涉及風險，優惠受條款及細則約束。詳情請瀏覽本行網站，或向本行職員查詢。 「貨幣掛鈎合約」及「結構性存款」 並非受保障存款，不受香港的存款保障計劃保障。  「工銀亞洲」或「本行」乃中國工商銀行（亞洲）有限公司之簡稱。  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #基金 #網上理財 #手機理財 #投資  #升級體驗 #手機銀行  #基金優惠 #理財優惠","2022-09-23T06:01:04+0000","","","","ICBC （Asia）","1909181976026476","","chronological","0","True","","4","NONE","","4","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","1909181976026476_3418821635062495"
"1","9","1","1909181976026476_3418630125081646","data","data.*","fetched (200)","2022-10-01 18:18:54.232634","Facebook:/<page-id>/posts","【依家學理財】全新資金定期存款年利率高達3.40％全新客戶更可享開戶賞高達HK$25,000現金回贈  一向精打細算嘅陳太，一直都有留意定期存款利率走勢。陳太知道近排定期息率高企，以全新資金嚟工銀亞洲做388天定期存款，可以享有年利率高達3.40％。除此之外仲有好吸引嘅【同心25年】迎新推廣，全新「理財金賬戶」客戶有機會享開戶賞高達HK$25,000現金回贈 ，而且新投資客戶做埋網上理財，經電子渠道認購指定類別理財產品完成合資格交易，更有機會再享高達HK$25,000現金回贈添！！詳情請瀏覽本行網站或向本行職員查詢。  →了解推廣詳情: https://bit.ly/3KiDzSr  提提大家: 迎新優惠去到2022年9月30日，快啲share畀親朋好友，一齊晉身成為 #工銀亞洲理財金 #ICBCAsiaEliteclub 客戶喇！  提示:  數碼KEY睇緊啲，撳LINK前要三思！ 便宜莫貪 勿賣Account  投資涉及風險，優惠受條款及細則約束。  風險披露： 投資涉及風險，投資產品價格有時可能會非常波動，投資產品價格可升亦可跌，甚至可能變成毫無價值。投資產品未必一定能夠賺取利潤，反而可能會招致虧損。任何投資產品的過去表現並不一定可作為將來表現的指引。「結構性存款」並非受保障存款，不受香港的存款保障計劃保障。 重要聲明：以上風險披露聲明不能披露所有涉及的風險，如欲索取完整之風險披露聲明，可瀏覽本行網站或向本行各分行查詢。   重要聲明: 以上風險披露聲明不能披露所有涉及的風險，如欲索取完整之風險披露聲明，可向本行各分行查詢。  「工銀亞洲」或「本行」乃中國工商銀行（亞洲）有限公司之簡稱。  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #工銀亞洲理財金 #ICBCAsiaEliteclub #投資 #新戶 #理財 #基金 #證券","2022-09-21T07:45:52+0000","","","","ICBC （Asia）","1909181976026476","","chronological","0","True","","4","NONE","","4","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","1909181976026476_3418630125081646"
"1","10","1","1909181976026476_3416958635248795","data","data.*","fetched (200)","2022-10-01 18:18:54.232634","Facebook:/<page-id>/posts","【線上理財達人賞】密密理財贏盡4重賞，有機會獲取高達HK$12,000獎賞！階段一最後召集！ 「線上理財達人賞」階段一即將完結，如果完成咗任務但未登記，就要把握機會，喺階段一限期前登記就可以參加㗎喇！叫埋親友參加，一齊贏盡獎賞啦！  由即日起至12月31日（包括首尾兩天）（推廣期）期間，只需進行簡單登記並完成指定任務，即可參加「積分賞」及「大抽獎」，密密理財，密密享4重賞，兩個階段有機會可合共獲取高達HK$12,000獎賞！  階段一： 2022年7月25日至2022年9月30日（包括首尾兩天）  階段二： 2022年10月1日至2022年12月31日（包括首尾兩天）  【密密賺「積分賞」】： 客戶完成指定任務，可獲得不同積分。每獲得25積分，有機會獲得HK$100現金獎賞。每名客戶於每個階段有機會獲得最高HK$1,000現金獎賞。階段一「積分賞」的高達HK$1,000現金獎賞之名額150名，階段二「積分賞」的高達HK$1,000現金獎賞名額250名。積分較高之客戶將優先獲得現金獎賞。客戶有機會於整個推廣期內獲取「積分賞」高達HK$2,000現金獎賞！  【Level Up 「大抽獎」】： 客戶可同步參加「大抽獎」，分別於兩個組別分別完成任何一項指定交易，便可自動獲得1次抽獎機會。除現金獎賞外，更設200個鼓勵獎。客戶有機會於整個推廣期內獲取「大抽獎」高達HK$10,000現金獎賞！  階段一及階段二之獎項及名額均相同如下： 頭獎：HK$5,000 現金獎賞（名額：5） 二獎：HK$3,000 現金獎賞（名額：10） 三獎：HK$800 現金獎賞（名額：10） 鼓勵獎：HK$100 超市禮券（名額：100）  詳情：www.icbcasia.com/icbc/smspro25tc  登記：https://m.icbcasia.com/icbc/customForm/363.jhtml  提示: 借定唔借？還得到先好借！ 數碼KEY睇緊啲，撳LINK前要三思！ 便宜莫貪， 勿賣Account！  投資涉及風險，優惠受條款及細則約束。條款及細則請瀏覽 https://bit.ly/3Sao7uZ，或向本行職員查詢。  「工銀亞洲」或「本行」乃中國工商銀行（亞洲）有限公司之簡稱。  #ICBCAsia #工銀亞洲 #跨境金融首選銀行 #線上理財達人賞 #網上理財 #手機理財 #積分賞 #大抽獎  #手機銀行 #密密理財 #4重賞 #慶回歸","2022-09-21T04:00:18+0000","","","","ICBC （Asia）","1909181976026476","","chronological","0","True","","11","NONE","","11","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","","0","NONE","1909181976026476_3416958635248795"
